adm_1_name,year,dengue_total,n_months,province_original,province_clean
AN GIANG,1994,2376,11,AN GIANG,AN GIANG
AN GIANG,1995,2290,12,AN GIANG,AN GIANG
AN GIANG,1996,2315,12,AN GIANG,AN GIANG
AN GIANG,1997,5876,12,AN GIANG,AN GIANG
AN GIANG,1998,9648,12,AN GIANG,AN GIANG
AN GIANG,1999,2716,12,AN GIANG,AN GIANG
AN GIANG,2000,3240,12,AN GIANG,AN GIANG
AN GIANG,2001,4027,12,AN GIANG,AN GIANG
AN GIANG,2002,1752,12,AN GIANG,AN GIANG
AN GIANG,2003,1818,12,AN GIANG,AN GIANG
AN GIANG,2004,5283,12,AN GIANG,AN GIANG
AN GIANG,2005,2847,12,AN GIANG,AN GIANG
AN GIANG,2006,2775,12,AN GIANG,AN GIANG
AN GIANG,2007,8833,12,AN GIANG,AN GIANG
AN GIANG,2008,2116,12,AN GIANG,AN GIANG
AN GIANG,2009,4150,12,AN GIANG,AN GIANG
AN GIANG,2010,5518,12,AN GIANG,AN GIANG
BA RIA-VUNG TAU,1995,4102,11,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,1996,1370,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,1997,584,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,1998,2270,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,1999,163,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2000,509,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2001,1678,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2002,680,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2003,751,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2004,911,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2005,341,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2006,1736,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2007,1318,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2008,2694,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2009,3158,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BA RIA-VUNG TAU,2010,758,12,BA RIA-VUNG TAU,BA RIA-VUNG TAU
BAC GIANG,1994,31,11,BAC GIANG,BAC GIANG
BAC GIANG,1995,145,12,BAC GIANG,BAC GIANG
BAC GIANG,1996,6,12,BAC GIANG,BAC GIANG
BAC GIANG,1997,5,12,BAC GIANG,BAC GIANG
BAC GIANG,1998,112,12,BAC GIANG,BAC GIANG
BAC GIANG,1999,19,12,BAC GIANG,BAC GIANG
BAC GIANG,2000,7,12,BAC GIANG,BAC GIANG
BAC GIANG,2001,21,12,BAC GIANG,BAC GIANG
BAC GIANG,2002,21,12,BAC GIANG,BAC GIANG
BAC GIANG,2003,1,12,BAC GIANG,BAC GIANG
BAC GIANG,2004,1,12,BAC GIANG,BAC GIANG
BAC GIANG,2005,0,12,BAC GIANG,BAC GIANG
BAC GIANG,2006,0,12,BAC GIANG,BAC GIANG
BAC GIANG,2007,0,12,BAC GIANG,BAC GIANG
BAC GIANG,2008,0,12,BAC GIANG,BAC GIANG
BAC GIANG,2009,425,12,BAC GIANG,BAC GIANG
BAC GIANG,2010,725,12,BAC GIANG,BAC GIANG
BAC KAN,1997,2,12,BAC KAN,BAC KAN
BAC KAN,1998,2,12,BAC KAN,BAC KAN
