gadm_name,year,dengue_total,n_months,source
An Giang,1994,2376,11,OpenDengue
An Giang,1995,2290,12,OpenDengue
An Giang,1996,2315,12,OpenDengue
An Giang,1997,5876,12,OpenDengue
An Giang,1998,9648,12,OpenDengue
An Giang,1999,2716,12,OpenDengue
An Giang,2000,3240,12,OpenDengue
An Giang,2001,4027,12,OpenDengue
An Giang,2002,1752,12,OpenDengue
An Giang,2003,1818,12,OpenDengue
An Giang,2004,5283,12,OpenDengue
An Giang,2005,2847,12,OpenDengue
An Giang,2006,2775,12,OpenDengue
An Giang,2007,8833,12,OpenDengue
An Giang,2008,2116,12,OpenDengue
An Giang,2009,4150,12,OpenDengue
An Giang,2010,5518,12,OpenDengue
An Giang,2011,4174,12,GDPM
An Giang,2012,5547,12,GDPM
An Giang,2013,1515,12,GDPM
An Giang,2014,1272,12,GDPM
An Giang,2015,3663,12,GDPM
An Giang,2016,2978,12,GDPM
An Giang,2017,4627,12,GDPM
Bà Rịa - Vũng Tàu,1995,4102,11,OpenDengue
Bà Rịa - Vũng Tàu,1996,1370,12,OpenDengue
Bà Rịa - Vũng Tàu,1997,584,12,OpenDengue
Bà Rịa - Vũng Tàu,1998,2270,12,OpenDengue
Bà Rịa - Vũng Tàu,1999,163,12,OpenDengue
Bà Rịa - Vũng Tàu,2000,509,12,OpenDengue
Bà Rịa - Vũng Tàu,2001,1678,12,OpenDengue
Bà Rịa - Vũng Tàu,2002,680,12,OpenDengue
Bà Rịa - Vũng Tàu,2003,751,12,OpenDengue
Bà Rịa - Vũng Tàu,2004,911,12,OpenDengue
Bà Rịa - Vũng Tàu,2005,341,12,OpenDengue
Bà Rịa - Vũng Tàu,2006,1736,12,OpenDengue
Bà Rịa - Vũng Tàu,2007,1318,12,OpenDengue
Bà Rịa - Vũng Tàu,2008,2694,12,OpenDengue
Bà Rịa - Vũng Tàu,2009,3158,12,OpenDengue
Bà Rịa - Vũng Tàu,2010,758,12,OpenDengue
Bà Rịa - Vũng Tàu,2011,1496,12,GDPM
Bà Rịa - Vũng Tàu,2012,3344,12,GDPM
Bà Rịa - Vũng Tàu,2013,4494,12,GDPM
Bà Rịa - Vũng Tàu,2014,2193,12,GDPM
Bà Rịa - Vũng Tàu,2015,2856,12,GDPM
Bà Rịa - Vũng Tàu,2016,3808,12,GDPM
Bà Rịa - Vũng Tàu,2017,2816,12,GDPM
Bình Dương,1994,2201,11,OpenDengue
Bình Dương,1995,4463,12,OpenDengue
Bình Dương,1996,2538,12,OpenDengue
Bình Dương,1997,1652,12,OpenDengue
Bình Dương,1998,3551,12,OpenDengue
Bình Dương,1999,942,12,OpenDengue
Bình Dương,2000,632,12,OpenDengue
Bình Dương,2001,338,12,OpenDengue
Bình Dương,2002,1284,12,OpenDengue
Bình Dương,2003,1251,12,OpenDengue
Bình Dương,2004,659,12,OpenDengue
Bình Dương,2005,727,12,OpenDengue
Bình Dương,2006,1535,12,OpenDengue
Bình Dương,2007,1715,12,OpenDengue
Bình Dương,2008,5242,12,OpenDengue
Bình Dương,2009,2099,12,OpenDengue
Bình Dương,2010,3083,12,OpenDengue
Bình Dương,2011,4215,12,GDPM
Bình Dương,2012,5367,12,GDPM
Bình Dương,2013,2465,12,GDPM
Bình Dương,2014,2751,12,GDPM
Bình Dương,2015,5991,12,GDPM
Bình Dương,2016,3964,12,GDPM
Bình Dương,2017,8487,12,GDPM
Bình Phước,1997,2858,12,OpenDengue
Bình Phước,1998,5230,12,OpenDengue
Bình Phước,1999,682,12,OpenDengue
Bình Phước,2000,834,12,OpenDengue
Bình Phước,2001,561,12,OpenDengue
Bình Phước,2002,1647,12,OpenDengue
Bình Phước,2003,1482,12,OpenDengue
Bình Phước,2004,1268,12,OpenDengue
Bình Phước,2005,550,12,OpenDengue
Bình Phước,2006,1806,12,OpenDengue
Bình Phước,2007,1049,12,OpenDengue
Bình Phước,2008,3976,12,OpenDengue
Bình Phước,2009,2097,12,OpenDengue
Bình Phước,2010,1019,12,OpenDengue
Bình Phước,2011,2344,12,GDPM
Bình Phước,2012,5240,12,GDPM
Bình Phước,2013,1880,12,GDPM
Bình Phước,2014,630,12,GDPM
Bình Phước,2015,1407,12,GDPM
Bình Phước,2016,3469,12,GDPM
