adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,start_date,end_date,year,month
VIET NAM,BAC GIANG,NA,"VIET NAM, BAC GIANG",VNM,1012309,VN-54,NA,1994-02-01,1994-02-28,1994,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,NAM DINH,NA,"VIET NAM, NAM DINH",VNM,1012329,VN-67,NA,1994-02-01,1994-02-28,1994,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,AN GIANG,NA,"VIET NAM, AN GIANG",VNM,1012315,VN-44,NA,1994-02-01,1994-02-28,1994,9,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,GIA LAI,NA,"VIET NAM, GIA LAI",VNM,1012419,VN-30,NA,1994-02-01,1994-02-28,1994,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,LAO CAI,NA,"VIET NAM, LAO CAI",VNM,1012366,VN-02,NA,1994-02-01,1994-02-28,1994,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,SOC TRANG,NA,"VIET NAM, SOC TRANG",VNM,1012346,VN-52,NA,1994-02-01,1994-02-28,1994,44,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,SON LA,NA,"VIET NAM, SON LA",VNM,1012434,VN-05,NA,1994-02-01,1994-02-28,1994,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,THAI BINH,NA,"VIET NAM, THAI BINH",VNM,1012326,VN-20,NA,1994-02-01,1994-02-28,1994,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,HA NOI CITY,NA,"VIET NAM, HA NOI CITY",VNM,1012401,VN-HN,NA,1994-02-01,1994-02-28,1994,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,CAN THO CITY,NA,"VIET NAM, CAN THO CITY",VNM,1012318,VN-CT,NA,1994-02-01,1994-02-28,1994,11,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,DONG NAI,NA,"VIET NAM, DONG NAI",VNM,1012412,VN-39,NA,1994-02-01,1994-02-28,1994,37,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,HA NOI CITY,NA,"VIET NAM, HA TAY",VNM,1012370,VN-30,NA,1994-02-01,1994-02-28,1994,5,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,HA TINH,NA,"VIET NAM, HA TINH",VNM,1012406,VN-23,NA,1994-02-01,1994-02-28,1994,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,HAI PHONG CITY,NA,"VIET NAM, HAI PHONG CITY",VNM,1012393,VN-HP,NA,1994-02-01,1994-02-28,1994,3,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,KHANH HOA,NA,"VIET NAM, KHANH HOA",VNM,1012376,VN-34,NA,1994-02-01,1994-02-28,1994,83,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,NINH THUAN,NA,"VIET NAM, NINH THUAN",VNM,1012342,VN-36,NA,1994-02-01,1994-02-28,1994,95,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
VIET NAM,LAI CHAU,NA,"VIET NAM, LAI CHAU",VNM,1012359,VN-01,NA,1994-02-01,1994-02-28,1994,0,Total,Admin1,Month,TYCHO-ALL-19242017-SV_DF01-00,1994-02-01,1994-02-28,1994,2
